region,scenario,year,temperature_c,precip_mm_day,temp_baseline_c,precip_baseline_mm_day,temp_anomaly_c,precip_change_pct,co2_ppm
Global,ssp126,2059,15.143029125933683,2.884430101419365,14.407739374411412,2.8432781352137413,0.7352897515222718,1.447342266518365,467.0
Global,ssp126,2060,15.361003086851094,2.878581590798373,14.407739374411412,2.8432781352137413,0.9532637124396821,1.2416462233293877,466.6666666666667
Global,ssp126,2061,15.34989178039133,2.8971958930244384,14.407739374411412,2.8432781352137413,0.9421524059799182,1.896323723765556,466.3333333333333
Global,ssp126,2062,14.9831257001954,2.8810244949753105,14.407739374411412,2.8432781352137413,0.5753863257839882,1.3275648025454854,466.0
Global,ssp126,2063,14.955295017563095,2.8860397262896567,14.407739374411412,2.8432781352137413,0.5475556431516839,1.5039538533468448,465.6666666666667
Global,ssp126,2064,15.03195119380236,2.8735818622855724,14.407739374411412,2.8432781352137413,0.6242118193909487,1.0658024164615572,465.3333333333333
Global,ssp126,2065,14.989165590008461,2.879195173625985,14.407739374411412,2.8432781352137413,0.58142621559705,1.263226343121847,465.0
Global,ssp245,2015,14.570852614477896,2.8451186405308655,14.407739374411412,2.8432781352137413,0.16311324006648498,0.06473180707612516,400.0
Global,ssp245,2016,14.701540515889002,2.8537077990229403,14.407739374411412,2.8432781352137413,0.29380114147759073,0.36681827500547787,403.3333333333333
Global,ssp245,2017,14.623745641033237,2.850952790000886,14.407739374411412,2.8432781352137413,0.2160062666218252,0.2699227589483696,406.6666666666667
Global,ssp245,2018,14.508425245859186,2.850249192289104,14.407739374411412,2.8432781352137413,0.10068587144777474,0.2451767552750753,410.0
Global,ssp245,2019,14.39696051495848,2.8482251654325275,14.407739374411412,2.8432781352137413,-0.01077885945293211,0.17399037250410557,413.3333333333333
Global,ssp245,2020,14.560079002801464,2.8357046891640496,14.407739374411412,2.8432781352137413,0.15233962839005244,-0.26636317973592655,416.6666666666667
Global,ssp245,2021,14.859853462888587,2.8551692007603684,14.407739374411412,2.8432781352137413,0.4521140884771757,0.41821675478587006,420.0
Global,ssp245,2022,14.719185468387154,2.841271131634683,14.407739374411412,2.8432781352137413,0.31144609397574285,-0.07058766267716464,423.3333333333333
Global,ssp245,2023,14.697757528933526,2.853195540904761,14.407739374411412,2.8432781352137413,0.2900181545221141,0.3488018132378065,426.6666666666667
Global,ssp245,2024,14.922135244803357,2.867992588959986,14.407739374411412,2.8432781352137413,0.5143958703919456,0.8692239229134379,430.0
Global,ssp245,2025,14.761578758684706,2.8432714516556183,14.407739374411412,2.8432781352137413,0.35383938427329475,-0.00023506522419206258,433.3333333333333
